id;mark;
A10165;TATTOO, FOREARM, LEFT - CROWN/STICKMAN/\"BGD & TORTURE\";
A10165;TATTOO, FOREARM, RIGHT - \"TERROR\" DEVIL/FORK/\"DEATH\";
A10165;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A10165;TATTOO, ARM, RIGHT UPPER - PEACOCK(TAT UL-ARM RIBBON \"EB\");
A10165;MEDICAL CONDITION - ACNE - ACNE BACK;
A10203;NONE RECORDED;
A10300;SCAR, LEG, LEFT - SCAR LEG, LEFT;
A10300;TATTOO, ARM, RIGHT - \"13\" \"69\" HEART/W/RIBBON;
A10300;TATTOO, ARM, LEFT - SNOOPY \"APOSTLE\";
A10300;SCAR, FOREHEAD - SCAR FOREHEAD;
A10300;MISSING FINGER(S), LEFT HAND - MISSING FINGER(S), LEFTHAND;
A10307;NONE RECORDED;
A10309;TATTOO, FOREARM, RIGHT - RICH,LINDA;
A10309;TATTOO, ARM, LEFT - GAIL,HEART, I,KIM;
A10309;TATTOO, ARM, RIGHT - DIANE,MARILYN (UPDATE ALL 12996);
A10309;TATTOO, HAND, LEFT - BLOOD;
A10309;TATTOO, HAND, RIGHT - DRAGON,DON;
A10388;SCAR, CHEST - SCAR CHEST;
A10388;SCAR, CHIN - SCAR CHIN;
A10397;TATTOO, ARM, LEFT - TATTOO ARM, LEFT;
A10397;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A10397;SCAR, ARM, RIGHT - SCAR ARM, RIGHT;
A10398;TATTOO, FINGER(S), RIGHT HAND - TATTOO FINGER(S), RIGHTHAND;
A10398;TATTOO, ARM, RIGHT UPPER - CARDS W/\"DEB\", SKELTON;
A10398;TATTOO, CHEST - CHAIN;
A10398;TATTOO, NECK - TRIBAL;
A10398;TATTOO, ARM, LEFT UPPER - JOKER;
A10410;TATTOO, ARM, LEFT UPPER - \"AUDREY\";
A10410;TATTOO, CHEST - 12\" SCAR;
A10410;TATTOO, ARM, RIGHT UPPER - \"AUDREY\";
A10410;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A10413;NONE RECORDED;
A10447;TATTOO, ARM, RIGHT - TATTOO ARM, RIGHT;
A10447;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A10447;SCAR, ABDOMEN - SCAR ON ABDOMEN;
A10459;TATTOO, ARM, RIGHT UPPER - SHIELD;
A10459;TATTOO, FOREARM, RIGHT - FEATHERS/9-11-93;
A10459;TATTOO, ARM, LEFT UPPER - A B L;
A10459;TATTOO, FOREARM, LEFT - FLYING DRAGON TRIBAL;
A10465;TATTOO, ARM, RIGHT - TATTOO ARM, RIGHT;
A10465;TATTOO, ARM, LEFT -;
A10465;TATTOO, CHEST - TATTOO CHEST;
A10465;SCAR, FOOT, RIGHT - SCAR FOOT, RIGHT;
A10480;SCAR, SIDE, LEFT - LIN SCAR ON LFT HIP AREA;
A10487;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A10487;TATTOO, ARM, RIGHT - TATTOO ARM, RIGHT;
A10487;TATTOO, HAND, LEFT - TATTOO HAND, LEFT;
A10506;SCAR, NECK - SCAR THROAT;
A10506;TATTOO, ARM, LEFT - MARGARET;
A10508;SCAR, HAND, RIGHT - SCAR HAND, RIGHT;
A10510;NONE RECORDED;
A10514;TATTOO, ARM, RIGHT - \"MONDO\"/CIRCLE 7;
A10514;SCAR, FOREHEAD - SCAR FOREHEAD;
A10574;TATTOO, ARM, RIGHT UPPER - 2 WIZARDS,CUFFED HNDS,LIGHTNING;
A10574;TATTOO, ARM, LEFT UPPER - HAND HOLDING REVOLVER          T;
A10574;TATTOO, CHEST - \"BEER\",PISTOL,\"MOM\",HEART;
A10574;TATTOO, LEG, RIGHT - DEVIL/CHEST-CROSS W/13;
A10574;TATTOO, LEG, LEFT - WOMAN,\"LETS FUCK\";
A10582;SCAR, HAND, LEFT - SCAR HAND, LEFT;
A10582;SCAR, EYEBROW, LEFT (EYE AREA) - SCAR EYEBROW, LEFT;
A10628;TATTOO, ARM, LEFT UPPER - SKUL,/HEADDRESS,INDIAN CHIEF;
A10628;TATTOO, BACK - HUNT BROTHERS/SWASTIKA\"PEAKIN IL;
A10628;TATTOO, FOREARM, RIGHT - SERPENT,WOMAN,BUFFALO;
A10628;TATTOO, ANKLE, LEFT - SWASTIKA T/URA-BARS,PICK,SLEDGE;
